assay,plate,type,homogenate,dilution_factor_unknownsample_pbs,well_content,tech_rep,assay_date,well,protein_conc_mg_mL_maybeError
bca,1,unknown,8,1:4,Hom 8 1:4 R1,R1,7/4/24,A1,0.5069107214
bca,1,unknown,8,1:4,Hom 8 1:4 R2,R2,7/4/24,A2,0.4781823706
bca,1,unknown,8,1:4,Hom 8 1:4 R3,R3,7/4/24,B1,0.4646057447
bca,1,unknown,13,1:4,Hom 13 1:4 R1,R1,7/4/24,C1,0.4574487334
bca,1,unknown,13,1:4,Hom 13 1:4 R2,R2,7/4/24,B2,0.4165073213
bca,1,unknown,13,1:4,Hom 13 1:4 R3,R3,7/4/24,C2,0.422879162
bca,1,unknown,21,1:4,Hom 21 1:4 R1,R1,7/4/24,A3,0.2281610811
bca,1,unknown,21,1:4,Hom 21 1:4 R2,R2,7/4/24,B3,0.2115007524
bca,1,unknown,21,1:4,Hom 21 1:4 R3,R3,7/4/24,C3,0.2216338699
bca,1,unknown,23,1:4,Hom 23 1:4 R1,R1,7/4/24,A4,0.4082690831
bca,1,unknown,23,1:4,Hom 23 1:4 R2,R2,7/4/24,B4,0.3623767308
bca,1,unknown,23,1:4,Hom 23 1:4 R3,R3,7/4/24,C4,0.3716807221
bca,1,unknown,27,1:4,Hom 27 1:4 R1,R1,7/4/24,D5,0.3739155298
bca,1,unknown,27,1:4,Hom 27 1:4 R2,R2,7/4/24,E5,0.3936866671
bca,1,unknown,27,1:4,Hom 27 1:4 R3,R3,7/4/24,F5,0.4030311405
bca,1,unknown,29,1:4,Hom 29 1:4 R1,R1,7/4/24,G2,0.5235827812
bca,1,unknown,29,1:4,Hom 29 1:4 R2,R2,7/4/24,G3,0.5592938121
bca,1,unknown,29,1:4,Hom 29 1:4 R3,R3,7/4/24,H3,0.6805812339
bca,1,unknown,33,1:4,Hom 33 1:4 R1,R1,7/4/24,A5,0.3880856029
bca,1,unknown,33,1:4,Hom 33 1:4 R2,R2,7/4/24,B5,0.3545711379
bca,1,unknown,33,1:4,Hom 33 1:4 R3,R3,7/4/24,C5,0.3948073888
bca,1,unknown,35,1:4,Hom 35 1:4 R1,R1,7/4/24,A6,0.3441778632
bca,1,unknown,35,1:4,Hom 35 1:4 R2,R2,7/4/24,B6,0.3304694442
bca,1,unknown,35,1:4,Hom 35 1:4 R3,R3,7/4/24,C6,0.3471456949
bca,1,unknown,37,1:4,Hom 37 1:4 R1,R1,7/4/24,G4,0.49669445
bca,1,unknown,37,1:4,Hom 37 1:4 R2,R2,7/4/24,H4,0.5307908407
bca,1,unknown,37,1:4,Hom 37 1:4 R3,R3,7/4/24,H5,0.5456025285
bca,1,unknown,39,1:4,Hom 39 1:4 R1,R1,7/4/24,G8,0.4195051958
bca,1,unknown,39,1:4,Hom 39 1:4 R2,R2,7/4/24,G9,0.4198800101
bca,1,unknown,39,1:4,Hom 39 1:4 R3,R3,7/4/24,H9,0.4796921573
bca,1,unknown,43,1:4,Hom 43 1:4 R1,R1,7/4/24,A7,0.51751691
bca,1,unknown,43,1:4,Hom 43 1:4 R2,R2,7/4/24,B7,0.4642289134
bca,1,unknown,43,1:4,Hom 43 1:4 R3,R3,7/4/24,C7,0.5148642733
bca,1,unknown,44,1:4,Hom 44 1:4 R1,R1,7/4/24,G7,0.7167782455
bca,1,unknown,44,1:4,Hom 44 1:4 R2,R2,7/4/24,H7,0.7960498871
bca,1,unknown,44,1:4,Hom 44 1:4 R3,R3,7/4/24,H8,0.8115678084
bca,1,unknown,46,1:4,Hom 46 1:4 R1,R1,7/4/24,A8,0.3918191734
bca,1,unknown,46,1:4,Hom 46 1:4 R2,R2,7/4/24,B8,0.3675854266
bca,1,unknown,46,1:4,Hom 46 1:4 R3,R3,7/4/24,C8,0.3698189261
bca,1,unknown,51,1:4,Hom 51 1:4 R1,R1,7/4/24,A9,0.9335193037
bca,1,unknown,51,1:4,Hom 51 1:4 R2,R2,7/4/24,B9,0.9472108777
bca,1,unknown,51,1:4,Hom 51 1:4 R3,R3,7/4/24,C9,1.017001993
bca,1,unknown,55,1:4,Hom 55 1:4 R1,R1,7/4/24,G1,0.5661461486
bca,1,unknown,55,1:4,Hom 55 1:4 R2,R2,7/4/24,H1,0.6318393557
bca,1,unknown,55,1:4,Hom 55 1:4 R3,R3,7/4/24,H2,0.6295413964
bca,1,unknown,56,1:4,Hom 56 1:4 R1,R1,7/4/24,D6,0.6778897243
bca,1,unknown,56,1:4,Hom 56 1:4 R2,R2,7/4/24,E6,0.8999226133
bca,1,unknown,56,1:4,Hom 56 1:4 R3,R3,7/4/24,F6,0.9210105964
bca,1,unknown,59,1:4,Hom 59 1:4 R1,R1,7/4/24,D1,0.6149980366
bca,1,unknown,59,1:4,Hom 59 1:4 R2,R2,7/4/24,E1,0.6875048449
bca,1,unknown,59,1:4,Hom 59 1:4 R3,R3,7/4/24,F1,0.7206347873
bca,1,unknown,60,1:4,Hom 60 1:4 R1,R1,7/4/24,D2,0.3064606295
bca,1,unknown,60,1:4,Hom 60 1:4 R2,R2,7/4/24,E2,0.3430652753
bca,1,unknown,60,1:4,Hom 60 1:4 R3,R3,7/4/24,F2,0.3375052149
bca,1,unknown,61,1:4,Hom 61 1:4 R1,R1,7/4/24,D3,0.4281303873
bca,1,unknown,61,1:4,Hom 61 1:4 R2,R2,7/4/24,E3,0.4529315659
bca,1,unknown,61,1:4,Hom 61 1:4 R3,R3,7/4/24,F3,0.4435284898
bca,1,unknown,70,1:4,Hom 70 1:4 R1,R1,7/4/24,D4,0.3642365268
bca,1,unknown,70,1:4,Hom 70 1:4 R2,R2,7/4/24,E4,0.3787600374
bca,1,unknown,70,1:4,Hom 70 1:4 R3,R3,7/4/24,F4,0.3918191734
bca,1,unknown,81,1:4,Hom 81 1:4 R1,R1,7/4/24,G5,0.7002077109
bca,1,unknown,81,1:4,Hom 81 1:4 R2,R2,7/4/24,G6,0.7291230233
bca,1,unknown,81,1:4,Hom 81 1:4 R3,R3,7/4/24,H6,0.797600963
bca,1,unknown,97,1:4,Hom 97 1:4 R1,R1,7/4/24,D7,0.7735774266
bca,1,unknown,97,1:4,Hom 97 1:4 R2,R2,7/4/24,E7,0.8925089607
bca,1,unknown,97,1:4,Hom 97 1:4 R3,R3,7/4/24,F7,0.8574364039
bca,1,unknown,98,1:4,Hom 98 1:4 R1,R1,7/4/24,D8,0.3631205886
bca,1,unknown,98,1:4,Hom 98 1:4 R2,R2,7/4/24,E8,0.3865927065
bca,1,unknown,98,1:4,Hom 98 1:4 R3,R3,7/4/24,F8,0.3858463729
bca,1,unknown,101,1:4,Hom 101 1:4 R1,R1,7/4/24,D9,0.611173847
bca,1,unknown,101,1:4,Hom 101 1:4 R2,R2,7/4/24,E9,0.7075270411
bca,1,unknown,101,1:4,Hom 101 1:4 R3,R3,7/4/24,F9,0.7295089771
bca,2,unknown,1,1:4,Hom 1 1:4 R1,R1,7/4/24,A1,0.2905277354
bca,2,unknown,1,1:4,Hom 1 1:4 R2,R2,7/4/24,B1,0.238539094
bca,2,unknown,1,1:4,Hom 1 1:4 R3,R3,7/4/24,C1,0.2388732241
bca,2,unknown,2,1:4,Hom 2 1:4 R1,R1,7/4/24,A2,0.3881565978
bca,2,unknown,2,1:4,Hom 2 1:4 R2,R2,7/4/24,B2,0.3379438872
bca,2,unknown,2,1:4,Hom 2 1:4 R3,R3,7/4/24,C2,0.3473041318
bca,2,unknown,3,1:4,Hom 3 1:4 R1,R1,7/4/24,A3,0.3601729353
bca,2,unknown,3,1:4,Hom 3 1:4 R2,R2,7/4/24,B3,0.3674978793
bca,2,unknown,3,1:4,Hom 3 1:4 R3,R3,7/4/24,C3,0.3441811555
bca,2,unknown,7,1:4,Hom 7 1:4 R1,R1,7/4/24,A4,0.6260495823
bca,2,unknown,7,1:4,Hom 7 1:4 R2,R2,7/4/24,B4,0.484069637
bca,2,unknown,7,1:4,Hom 7 1:4 R3,R3,7/4/24,C4,0.5157752455
bca,2,unknown,9,1:4,Hom 9 1:4 R1,R1,7/4/24,A5,0.3814912432
bca,2,unknown,9,1:4,Hom 9 1:4 R2,R2,7/4/24,B5,0.3227469289
bca,2,unknown,9,1:4,Hom 9 1:4 R3,R3,7/4/24,C5,0.3306818998
bca,2,unknown,14,1:4,Hom 14 1:4 R1,R1,7/4/24,A6,0.2482480341
bca,2,unknown,14,1:4,Hom 14 1:4 R2,R2,7/4/24,B6,0.2268749992
bca,2,unknown,14,1:4,Hom 14 1:4 R3,R3,7/4/24,C6,0.2325329662
bca,2,unknown,15,1:4,Hom 15 1:4 R1,R1,7/4/24,A7,0.3048807845
bca,2,unknown,15,1:4,Hom 15 1:4 R2,R2,7/4/24,B7,0.2650782571
bca,2,unknown,15,1:4,Hom 15 1:4 R3,R3,7/4/24,C7,0.2536214169
bca,2,unknown,22,1:4,Hom 22 1:4 R1,R1,7/4/24,A8,0.5150524034
bca,2,unknown,22,1:4,Hom 22 1:4 R2,R2,7/4/24,B8,0.4379758304
bca,2,unknown,22,1:4,Hom 22 1:4 R3,R3,7/4/24,C8,0.5706403547
bca,2,unknown,28,1:4,Hom 28 1:4 R1,R1,7/4/24,A9,0.417762514
bca,2,unknown,28,1:4,Hom 28 1:4 R2,R2,7/4/24,B9,0.372039862
bca,2,unknown,28,1:4,Hom 28 1:4 R3,R3,7/4/24,C9,0.3685455236
bca,2,unknown,34,1:4,Hom 34 1:4 R1,R1,7/4/24,D1,0.4998967986
bca,2,unknown,34,1:4,Hom 34 1:4 R2,R2,7/4/24,E1,0.501338194
bca,2,unknown,34,1:4,Hom 34 1:4 R3,R3,7/4/24,F1,0.4894594175
bca,2,unknown,38,1:4,Hom 38 1:4 R1,R1,7/4/24,D2,0.2647405583
bca,2,unknown,38,1:4,Hom 38 1:4 R2,R2,7/4/24,E2,0.3358673938
bca,2,unknown,38,1:4,Hom 38 1:4 R3,R3,7/4/24,F2,0.2847384734
bca,2,unknown,42,1:4,Hom 42 1:4 R1,R1,7/4/24,D3,0.404694497
bca,2,unknown,42,1:4,Hom 42 1:4 R2,R2,7/4/24,E3,0.3790385666
bca,2,unknown,42,1:4,Hom 42 1:4 R3,R3,7/4/24,F3,0.3916693869
bca,2,unknown,64,1:4,Hom 64 1:4 R1,R1,7/4/24,D4,0.3120834489
bca,2,unknown,64,1:4,Hom 64 1:4 R2,R2,7/4/24,E4,0.3275745718
bca,2,unknown,64,1:4,Hom 64 1:4 R3,R3,7/4/24,F4,0.3045382298
bca,2,unknown,65,1:4,Hom 65 1:4 R1,R1,7/4/24,D5,0.5425921032
bca,2,unknown,65,1:4,Hom 65 1:4 R2,R2,7/4/24,E5,0.5571446329
bca,2,unknown,65,1:4,Hom 65 1:4 R3,R3,7/4/24,F5,0.5586020375
bca,2,unknown,68,1:4,Hom 68 1:4 R1,R1,7/4/24,D6,0.4397535417
bca,2,unknown,68,1:4,Hom 68 1:4 R2,R2,7/4/24,E6,0.4589990684
bca,2,unknown,68,1:4,Hom 68 1:4 R3,R3,7/4/24,F6,0.4572135593
bca,2,unknown,69,1:4,Hom 69 1:4 R1,R1,7/4/24,D7,0.8436818229
bca,2,unknown,69,1:4,Hom 69 1:4 R2,R2,7/4/24,E7,0.9373041493
bca,2,unknown,69,1:4,Hom 69 1:4 R3,R3,7/4/24,F7,0.9031786727
bca,2,unknown,76,1:4,Hom 76 1:4 R1,R1,7/4/24,D8,0.3790385666
bca,2,unknown,76,1:4,Hom 76 1:4 R2,R2,7/4/24,E8,0.3856995716
bca,2,unknown,76,1:4,Hom 76 1:4 R3,R3,7/4/24,F8,0.3601729353
bca,2,unknown,78,1:4,Hom 78 1:4 R1,R1,7/4/24,D9,0.9338474145
bca,2,unknown,78,1:4,Hom 78 1:4 R2,R2,7/4/24,E9,0.9576867376
bca,2,unknown,78,1:4,Hom 78 1:4 R3,R3,7/4/24,F9,0.9177332979
bca,2,unknown,85,1:4,Hom 85 1:4 R1,R1,7/4/24,G1,1.244231001
bca,2,unknown,85,1:4,Hom 85 1:4 R2,R2,7/4/24,H1,1.029952027
bca,2,unknown,85,1:4,Hom 85 1:4 R3,R3,7/4/24,H2,1.029564169
bca,2,unknown,89,1:4,Hom 89 1:4 R1,R1,7/4/24,G2,0.5658948638
bca,2,unknown,89,1:4,Hom 89 1:4 R2,R2,7/4/24,G3,0.5542309907
bca,2,unknown,89,1:4,Hom 89 1:4 R3,R3,7/4/24,H3,0.5204762331
bca,2,unknown,91,1:4,Hom 91 1:4 R1,R1,7/4/24,G4,0.3079655393
bca,2,unknown,91,1:4,Hom 91 1:4 R2,R2,7/4/24,H4,0.300430649
bca,2,unknown,91,1:4,Hom 91 1:4 R3,R3,7/4/24,H5,0.3028260466
bca,2,unknown,93,1:4,Hom 93 1:4 R1,R1,7/4/24,G5,1.179164444
bca,2,unknown,93,1:4,Hom 93 1:4 R2,R2,7/4/24,G6,1.116417375
bca,2,unknown,93,1:4,Hom 93 1:4 R3,R3,7/4/24,H6,1.024523375
bca,2,unknown,95,1:4,Hom 95 1:4 R1,R1,7/4/24,G7,0.8379830013
bca,2,unknown,95,1:4,Hom 95 1:4 R2,R2,7/4/24,H7,0.757496645
bca,2,unknown,95,1:4,Hom 95 1:4 R3,R3,7/4/24,H8,0.8928517253
bca,2,unknown,96,1:4,Hom 96 1:4 R1,R1,7/4/24,G8,0.5535028239
bca,2,unknown,96,1:4,Hom 96 1:4 R2,R2,7/4/24,G9,0.6043374632
bca,2,unknown,96,1:4,Hom 96 1:4 R3,R3,7/4/24,H9,0.6667340592